# Location: Anchorage Area
# Demographic and health data for individual neighborhoods of Anchorage.
variable,Government Hill,West Mountain View/Ship Creek,East Mountain View,Ptarmigan Area,Northwest Muldoon,Northeast Muldoon,Wonder Park,Russian Jack,Merrill Field Vicinity,Chester Creek,West Fairview,Downtown Anchorage Core,Bootleggers Cove/Westchester,Turnagain,South Fireweed,North Fireweed,Rogers Park/Tudor Area,Airport Heights,University Area,Baxter,Cheney Lake,Muldoon,Scenic Foothills,Campbell Park West,Campbell Park East,Midtown,Spenard,Woodland Park/Spenard,Lake Spenard,East Turnagain/Fish Creek,Airport/Kincaid,Connors Lake,Jewel Lake/Birch Lake,Dimond/Northwood,Northwood,Arctic,Taku/Campbell,Abbott Loop West,Abbott Loop North,Abbott Loop,Campbell Lake/Bayshore,Dimond/Southport,Oceanview,Klatt,Independence Park,Lower Hillside,Hillside East,Huffman,Rabbit Creek,Rabbit Creek/Bear Valley,Science Center/Bicentennial Park,description,source
pct_below_150pov,32.6,56.4,51.5,27.7,21.7,26.3,21.9,29.8,37.2,23.0,24.5,31.4,7.5,4.2,11.9,11.0,13.7,10.1,12.3,5.9,9.0,12.2,10.2,17.9,16.4,24.4,25.7,20.2,14.8,19.0,3.2,13.6,20.0,13.9,11.9,12.9,26.5,9.3,8.8,10.7,4.4,17.7,9.5,10.5,8.3,11.4,3.8,6.5,13.1,2.9,,pct_below_150pov is the percentage of population living below 150% of the federal poverty threshold,CDC PLACES Social Determinants of Health dataset for 2024 (originally derived from ACS estimates 2017-2021)
pct_below_150pov_low,19.1,42.3,37.5,18.1,15.0,14.7,13.3,21.4,28.5,10.4,16.5,16.3,5.0,1.6,4.7,5.3,7.6,5.6,5.0,2.9,4.1,7.0,4.9,11.6,8.3,17.5,20.1,9.5,7.4,10.6,1.3,6.6,14.8,0.0,5.3,5.7,16.0,5.3,1.2,1.5,2.2,8.7,3.5,5.5,4.9,5.0,1.4,0.9,2.5,1.2,,pct_below_150pov_low is the lower bound of the 90% confidence interval for percentage of population living below 150% of the federal poverty threshold,CDC PLACES Social Determinants of Health dataset for 2024 (originally derived from ACS estimates 2017-2021)
pct_below_150pov_high,46.1,70.5,65.5,37.3,28.4,37.9,30.5,38.2,45.9,35.6,32.5,46.5,10.0,6.8,19.1,16.7,19.8,14.6,19.6,8.9,13.9,17.4,15.5,24.2,24.5,31.3,31.3,30.9,22.2,27.4,5.1,20.6,25.2,30.0,18.5,20.1,37.0,13.3,16.4,19.9,6.6,26.7,15.5,15.5,11.7,17.8,6.2,12.1,23.7,4.6,,pct_below_150pov_high is the upper bound of the 90% confidence interval for percentage of population living below 150% of the federal poverty threshold,CDC PLACES Social Determinants of Health dataset for 2024 (originally derived from ACS estimates 2017-2021)
pct_unemployed,12.0,5.4,11.6,7.8,6.8,6.4,8.6,7.8,11.8,3.0,9.3,9.5,1.0,2.2,0.3,5.6,4.0,7.5,6.5,3.4,6.5,9.4,9.3,6.6,7.6,9.8,11.9,10.6,8.0,7.2,4.7,7.2,5.2,0.9,5.6,1.4,3.3,3.5,4.6,6.5,5.1,3.2,5.7,0.6,6.1,1.4,3.6,3.8,4.5,7.4,,pct_unemployed is the percentage of the population >= 16 years in the civilian labor force who are unemployed (jobless but are available to work and have actively looked for work in the past 4 weeks),CDC PLACES Social Determinants of Health dataset for 2024 (originally derived from ACS estimates 2017-2021)
pct_unemployed_low,4.1,0.4,0.8,4.2,3.6,2.2,5.3,4.4,4.5,0.3,2.1,1.3,0.0,0.1,0.0,0.0,0.7,2.9,3.2,0.7,2.4,1.7,3.8,3.3,2.9,4.2,5.9,5.7,1.3,0.2,1.9,3.7,2.1,0.0,1.4,0.1,0.6,1.7,1.9,2.7,2.2,0.7,2.2,0.0,1.4,0.0,0.7,1.0,1.6,3.2,,pct_unemployed_low is the lower bound of the 90% confidence interval for percentage of the population >= 16 years in the civilian labor force who are unemployed (jobless but are available to work and have actively looked for work in the past 4 weeks),CDC PLACES Social Determinants of Health dataset for 2024 (originally derived from ACS estimates 2017-2021)
pct_unemployed_high,19.9,10.4,22.4,11.4,10.0,10.6,11.9,11.2,19.1,5.7,16.5,17.7,2.0,4.3,0.9,11.4,7.3,12.1,9.8,6.1,10.6,17.1,14.8,9.9,12.3,15.4,17.9,15.5,14.7,14.2,7.5,10.7,8.3,2.3,9.8,2.7,6.0,5.3,7.3,10.3,8.0,5.7,9.2,1.8,10.8,2.8,6.5,6.6,7.4,11.6,,pct_unemployed_high is the upper bound of the 90% confidence interval for percentage of the population >= 16 years in the civilian labor force who are unemployed (jobless but are available to work and have actively looked for work in the past 4 weeks),CDC PLACES Social Determinants of Health dataset for 2024 (originally derived from ACS estimates 2017-2021)
pct_foodstamps,15.4,42.9,36.3,16.9,19.0,17.7,17.8,17.5,24.8,14.7,15.1,23.6,4.8,3.7,8.3,10.8,8.3,10.1,10.6,8.8,7.7,12.7,8.8,9.4,9.9,16.1,24.1,15.0,8.2,11.8,7.0,12.0,14.5,14.6,8.5,9.8,13.5,10.9,9.3,9.8,5.2,12.5,8.6,7.0,9.4,7.1,4.9,6.1,6.9,3.6,,pct_foodstamps is the percentage of adults aged >=18 years that received food stamps in the past 12 months,CDC PLACES dataset for 2024
pct_foodstamps_low,13.7,39.8,33.3,15.1,16.9,15.7,15.9,15.6,22.4,13.1,13.5,21.2,4.2,3.2,7.3,9.6,7.3,8.9,9.4,7.8,6.8,11.2,7.8,8.3,8.7,14.4,21.7,13.3,7.2,10.4,6.1,10.6,12.9,12.9,7.4,8.6,11.9,9.6,8.1,8.6,4.5,11.0,7.5,6.1,8.3,6.3,4.3,5.4,6.0,3.1,,pct_foodstamps_low is the lower bound of the 90% confidence interval for percentage of adults aged >=18 years that received food stamps in the past 12 months,CDC PLACES dataset for 2024
pct_foodstamps_high,17.2,46.0,39.3,18.8,21.2,19.7,19.8,19.5,27.2,16.5,16.8,26.0,5.5,4.2,9.4,12.2,9.3,11.5,12.0,10.0,8.8,14.3,9.9,10.6,11.1,17.9,26.6,16.7,9.2,13.3,8.0,13.6,16.2,16.3,9.6,11.1,15.1,12.3,10.5,11.1,6.0,14.0,9.7,8.0,10.6,8.1,5.6,7.0,7.8,4.1,,pct_foodstamps_high is the upper bound of the 90% confidence interval for percentage of adults aged >=18 years that received food stamps in the past 12 months,CDC PLACES dataset for 2024
pct_single_parent,8.3,27.5,20.9,0.9,11.8,9.9,7.0,9.0,21.2,7.9,3.2,9.1,3.0,1.4,0.0,6.6,2.1,4.1,8.3,4.7,1.8,7.6,4.1,8.9,5.4,8.9,5.3,3.3,7.9,10.4,7.4,6.1,5.1,11.8,9.6,9.3,5.1,8.3,2.9,2.6,2.1,3.9,3.6,10.1,6.6,2.6,3.1,3.8,5.1,3.8,,pct_single_parent is the percentage of single parent households (households with a male or female householder with no spouse or partner present with children of the householder),CDC PLACES Social Determinants of Health dataset for 2024 (originally derived from ACS estimates 2017-2021)
pct_single_parent_low,1.6,13.4,7.9,0.0,5.2,2.4,2.6,2.8,12.4,3.2,0.0,4.7,0.4,0.0,0.0,0.0,0.0,1.3,2.9,0.8,0.0,2.8,0.7,3.4,0.8,1.3,1.4,0.2,3.1,4.7,2.3,1.7,1.4,4.7,3.2,3.0,0.9,3.0,0.3,0.0,0.0,1.4,0.5,4.2,2.9,0.4,1.2,1.4,0.7,1.1,,pct_single_parent_low is the lower bound of the 90% confidence interval for percentage of single parent households (households with a male or female householder with no spouse or partner present with children of the householder),CDC PLACES Social Determinants of Health dataset for 2024 (originally derived from ACS estimates 2017-2021)
pct_single_parent_high,15.0,41.6,33.9,2.6,18.4,17.4,11.4,15.2,30.0,12.6,6.8,13.5,5.6,2.9,1.0,13.7,4.3,6.9,13.7,8.6,4.0,12.4,7.5,14.4,10.0,16.5,9.2,6.4,12.7,16.1,12.5,10.5,8.8,18.9,16.0,15.6,9.3,13.6,5.5,6.0,4.5,6.4,6.7,16.0,10.3,4.8,5.0,6.2,9.5,6.5,,pct_single_parent_high is the upper bound of the 90% confidence interval for percentage of single parent households (households with a male or female householder with no spouse or partner present with children of the householder),CDC PLACES Social Determinants of Health dataset for 2024 (originally derived from ACS estimates 2017-2021)
pct_no_bband,14.6,10.7,23.2,7.6,6.2,5.2,12.0,5.8,11.0,8.3,21.5,21.6,7.1,9.3,24.6,7.8,7.1,7.4,4.0,6.2,1.2,10.6,7.1,6.3,7.7,10.7,17.4,7.3,4.5,7.6,2.3,10.1,5.5,0.0,9.8,5.6,20.6,3.1,4.2,6.6,7.4,5.9,4.7,6.2,9.0,1.5,2.5,2.0,6.2,3.3,,pct_no_bband is the percentage of households with no broadband internet subscription,CDC PLACES Social Determinants of Health dataset for 2024 (originally derived from ACS estimates 2017-2021)
pct_no_bband_low,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,4.6,0.0,0.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,pct_no_bband_low is the lower bound of the 90% confidence interval for percentage of households with no broadband internet subscription,CDC PLACES Social Determinants of Health dataset for 2024 (originally derived from ACS estimates 2017-2021)
pct_no_bband_high,33.0,31.3,41.1,17.5,20.7,18.5,24.6,15.6,22.4,20.6,34.9,38.6,17.2,20.0,40.0,31.2,19.3,21.6,19.9,18.3,13.1,21.5,22.4,20.7,22.7,26.8,36.9,21.2,14.1,22.8,13.7,23.8,15.6,13.4,22.5,15.2,30.5,13.5,18.7,18.1,18.4,15.6,24.1,20.3,20.2,12.0,14.5,13.7,18.6,15.2,,pct_no_bband_high is the upper bound of the 90% confidence interval for percentage of households with no broadband internet subscription,CDC PLACES Social Determinants of Health dataset for 2024 (originally derived from ACS estimates 2017-2021)
pct_crowding,2.8,8.4,18.8,9.0,10.9,4.4,15.5,8.4,15.9,4.5,6.5,0.7,1.0,1.3,2.4,5.2,2.0,2.3,3.1,2.6,4.4,6.3,0.3,10.3,11.7,3.5,7.8,5.6,4.7,2.9,1.8,6.9,4.0,0.0,4.6,0.5,8.0,4.8,1.5,2.3,5.1,5.3,0.0,4.3,5.9,1.9,0.0,3.1,0.0,1.3,,pct_crowding is the percentage of households with 'crowding' (occupied housing units with 1.01 to 1.50 and 1.51 or more occupants per room),CDC PLACES Social Determinants of Health dataset for 2024 (originally derived from ACS estimates 2017-2021)
pct_crowding_low,0.0,1.5,5.2,3.2,3.5,0.2,11.3,3.7,7.1,0.1,2.6,0.0,0.0,0.0,0.5,0.8,0.0,0.5,0.5,0.2,0.3,1.4,0.0,3.0,5.4,0.6,2.7,0.5,1.7,0.0,0.0,1.9,0.5,0.0,0.9,0.0,2.4,1.3,0.0,0.0,1.5,2.0,0.0,0.0,1.5,0.0,0.0,0.4,0.0,0.0,,pct_crowding_low is the lower bound of the 90% confidence interval for percentage of households with 'crowding' (occupied housing units with 1.01 to 1.50 and 1.51 or more occupants per room),CDC PLACES Social Determinants of Health dataset for 2024 (originally derived from ACS estimates 2017-2021)
pct_crowding_high,6.2,15.3,32.4,14.8,18.3,8.6,19.7,13.1,24.7,8.9,10.4,3.2,2.7,3.1,4.3,9.6,5.5,4.1,5.7,5.0,8.5,11.2,1.1,17.6,18.0,6.4,12.9,10.7,7.7,5.8,4.0,11.9,7.5,1.7,8.3,1.6,13.6,8.3,3.6,6.0,8.7,8.6,0.9,8.8,10.3,5.0,0.8,5.8,1.0,2.8,,pct_crowding_high is the upper bound of the 90% confidence interval for percentage of households with 'crowding' (occupied housing units with 1.01 to 1.50 and 1.51 or more occupants per room),CDC PLACES Social Determinants of Health dataset for 2024 (originally derived from ACS estimates 2017-2021)
pct_hcost,41.6,46.1,34.8,34.7,36.8,26.5,29.4,33.9,38.3,34.2,46.9,45.2,22.4,21.5,18.9,28.0,23.9,30.3,27.2,22.2,19.5,24.1,19.1,22.7,35.4,39.5,35.6,32.6,20.9,33.3,18.9,21.9,25.6,25.0,31.3,25.3,31.1,25.7,11.1,27.2,15.0,18.1,12.3,33.6,33.3,13.0,7.0,8.9,4.8,12.0,,"pct_hcost is the percentage of households with 'housing cost burden' (households with annual income less than $75,000 that spend 30% or more of their household income on housing)",CDC PLACES Social Determinants of Health dataset for 2024 (originally derived from ACS estimates 2017-2021)
pct_hcost_low,29.4,32.4,20.5,25.9,23.7,17.7,21.0,23.7,28.8,23.8,34.5,23.6,15.3,12.3,9.3,15.3,15.1,21.3,15.8,15.1,12.9,14.4,12.0,14.8,23.0,27.3,29.3,23.1,12.9,23.8,10.5,15.0,18.2,8.3,19.8,16.4,22.6,16.5,5.9,16.3,8.2,13.5,5.7,20.4,24.1,6.9,3.0,4.6,2.2,5.5,,"pct_hcost_low is the lower bound of the 90% confidence interval for percentage of households with 'housing cost burden' (households with annual income less than $75,000 that spend 30% or more of their household income on housing)",CDC PLACES Social Determinants of Health dataset for 2024 (originally derived from ACS estimates 2017-2021)
pct_hcost_high,53.8,59.8,49.1,43.5,49.9,35.3,37.8,44.1,47.8,44.6,59.3,66.8,29.5,30.7,28.5,40.7,32.7,39.3,38.6,29.3,26.1,33.8,26.2,30.6,47.8,51.7,41.9,42.1,28.9,42.8,27.3,28.8,33.0,41.7,42.8,34.2,39.6,34.9,16.3,38.1,21.8,22.7,18.9,46.8,42.5,19.1,11.0,13.2,7.4,18.5,,"pct_hcost_high is the upper bound of the 90% confidence interval for percentage of households with 'housing cost burden' (households with annual income less than $75,000 that spend 30% or more of their household income on housing)",CDC PLACES Social Determinants of Health dataset for 2024 (originally derived from ACS estimates 2017-2021)
pct_emospt,26.4,34.3,36.2,30.3,31.7,30.9,32.9,31.4,33.8,29.6,27.7,29.8,20.4,19.7,26.5,28.2,24.1,26.0,26.8,25.9,24.5,28.5,25.5,27.6,28.4,30.0,32.1,28.4,25.1,26.0,25.1,27.2,28.3,30.4,26.2,26.4,27.6,29.1,26.8,27.3,22.8,28.8,24.6,24.2,27.2,22.5,21.0,22.2,21.7,19.0,,"pct_emospt is the percentage of adults aged >=18 years who report 'lack of social and emotional support' (self-report sometimes, rarely, or never getting the social and emotional support needed); this value is a crude prevalence rate",CDC PLACES dataset for 2024
pct_emospt_low,23.8,31.2,33.0,27.4,28.8,27.9,29.9,28.5,30.7,26.8,25.0,26.9,18.2,17.6,23.9,25.5,21.6,23.4,24.1,23.3,22.0,25.7,23.0,24.8,25.6,27.2,29.1,25.6,22.5,23.4,22.6,24.5,25.4,27.5,23.6,23.8,24.9,26.2,24.1,24.5,20.3,26.1,22.0,21.7,24.5,20.2,18.8,19.9,19.4,16.9,,"pct_emospt_low is the lower bound of the 90% confidence interval for percentage of adults aged >=18 years who report 'lack of social and emotional support' (self-report sometimes, rarely, or never getting the social and emotional support needed)",CDC PLACES dataset for 2024
pct_emospt_high,29.3,37.6,39.6,33.3,34.8,34.1,36.1,34.6,37.0,32.6,30.5,32.8,22.8,22.1,29.3,31.2,26.8,28.8,29.6,28.7,27.2,31.5,28.4,30.6,31.4,33.0,35.3,31.3,27.9,28.9,27.9,30.1,31.3,33.5,29.1,29.3,30.6,32.0,29.7,30.1,25.4,31.8,27.3,26.9,30.1,25.2,23.5,24.8,24.2,21.3,,"pct_emospt_high is the upper bound of the 90% confidence interval for percentage of adults aged >=18 years who report 'lack of social and emotional support' (self-report sometimes, rarely, or never getting the social and emotional support needed)",CDC PLACES dataset for 2024
pct_w_disability,16.5,19.4,17.6,16.5,14.5,8.9,12.6,12.1,13.5,14.4,28.2,15.9,8.5,7.0,15.5,17.3,16.0,14.0,10.6,14.3,11.1,16.6,13.5,10.5,13.0,12.2,25.6,12.9,8.5,15.5,8.2,5.9,6.3,4.8,12.2,11.8,11.8,17.3,11.1,13.6,8.8,14.3,10.2,8.7,12.7,9.9,9.3,9.8,9.9,7.0,,"pct_w_disability is the percentage of the population with a reported disability (presence of six types of disability related to serious difficulty including: hearing, vision, concentrating, remembering or making decisions (i.e. cognition), walking or climbing stairs (i.e. mobility), dressing or bathing (i.e., self-care), and doing errands alone (i.e., independent living))",U.S. Census American Community Survey 5-year estimates for years 2019-2023
pct_w_disability_low,10.2,12.1,11.2,11.1,8.2,5.0,8.1,7.7,8.5,10.1,20.3,6.0,5.8,4.0,10.3,10.4,10.1,8.7,7.1,9.9,7.0,11.1,8.8,6.4,7.6,7.9,14.7,9.0,6.0,10.0,5.4,3.7,3.5,1.4,8.0,8.3,7.0,9.8,7.0,8.3,5.3,9.4,5.8,3.6,8.4,6.5,5.7,6.0,7.1,4.5,,"pct_w_disability_low is the lower bound of the 90% confidence interval for percentage of the population with a reported disability (presence of six types of disability related to serious difficulty including: hearing, vision, concentrating, remembering or making decisions (i.e. cognition), walking or climbing stairs (i.e. mobility), dressing or bathing (i.e., self-care), and doing errands alone (i.e., independent living))",U.S. Census American Community Survey 5-year estimates for years 2019-2023
pct_w_disability_high,22.8,26.7,24.0,21.9,20.8,12.8,17.1,16.5,18.5,18.7,36.1,25.8,11.2,10.0,20.7,24.2,21.9,19.3,14.1,18.7,15.2,22.1,18.2,14.6,18.4,16.5,36.5,16.8,11.0,21.0,11.0,8.1,9.1,8.2,16.4,15.3,16.6,24.8,15.2,18.9,12.3,19.2,14.6,13.8,17.0,13.3,12.9,13.6,12.7,9.5,,"pct_w_disability_high is the upper bound of the 90% confidence interval for percentage of the population with a reported disability (presence of six types of disability related to serious difficulty including: hearing, vision, concentrating, remembering or making decisions (i.e. cognition), walking or climbing stairs (i.e. mobility), dressing or bathing (i.e., self-care), and doing errands alone (i.e., independent living))",U.S. Census American Community Survey 5-year estimates for years 2019-2023
pct_insured,85.3,90.4,88.3,79.7,89.8,90.3,83.8,82.7,86.6,91.5,90.8,85.1,96.4,96.3,85.4,87.7,93.4,91.0,94.0,86.5,94.1,90.4,86.8,83.8,85.0,87.5,85.7,82.3,90.0,90.9,95.2,87.1,92.1,92.9,80.5,95.6,78.0,91.1,84.8,93.4,94.8,87.4,93.3,87.3,88.6,92.5,95.4,89.3,94.0,96.0,,pct_insured is the percentage of the population with health insurance,U.S. Census American Community Survey 5-year estimates for years 2019-2023
pct_insured_low,78.5,83.4,81.6,73.0,86.1,85.5,77.5,75.5,81.1,87.1,85.7,74.9,94.0,93.2,78.2,81.7,90.4,87.3,91.1,79.0,91.1,86.5,80.3,76.7,79.4,81.5,81.1,75.4,84.4,87.3,92.4,81.1,88.6,87.2,73.8,93.2,69.1,87.0,77.3,90.3,91.0,82.1,88.5,79.4,83.1,89.1,93.0,83.1,88.4,93.0,,pct_insured_low is the lower bound of the 90% confidence interval for percentage of the population with health insurance,U.S. Census American Community Survey 5-year estimates for years 2019-2023
pct_insured_high,92.1,97.4,95.0,86.4,93.5,95.1,90.1,89.9,92.1,95.9,95.9,95.3,98.8,99.4,92.6,93.7,96.4,94.7,96.9,94.0,97.1,94.3,93.3,90.9,90.6,93.5,90.3,89.2,95.6,94.5,98.0,93.1,95.6,98.6,87.2,98.0,86.9,95.2,92.3,96.5,98.6,92.7,98.1,95.2,94.1,95.9,97.8,95.5,99.6,99.0,,pct_insured_high is the upper bound of the 90% confidence interval for percentage of the population with health insurance,U.S. Census American Community Survey 5-year estimates for years 2019-2023
pct_uninsured,14.7,9.6,11.7,20.3,10.2,9.7,16.2,17.3,13.4,8.5,9.2,14.9,3.6,3.7,14.6,12.3,6.6,9.0,6.0,13.5,5.9,9.6,13.2,16.2,15.0,12.5,14.3,17.7,10.0,9.1,4.8,12.9,7.9,7.1,19.5,4.4,22.0,8.9,15.2,6.6,5.2,12.6,6.7,12.7,11.4,7.5,4.6,10.7,6.0,4.0,,pct_uninsured is the percentage of the population without health insurance,U.S. Census American Community Survey 5-year estimates for years 2019-2023
pct_uninsured_low,7.9,2.6,5.0,13.6,6.5,4.9,9.9,10.1,7.9,4.1,4.1,4.7,1.2,0.6,7.4,6.3,3.6,5.3,3.1,6.0,2.9,5.7,6.7,9.1,9.4,6.5,9.7,10.8,4.4,5.5,2.0,6.9,4.4,1.4,12.8,2.0,13.1,4.8,7.7,3.5,1.4,7.3,1.9,4.8,5.9,4.1,2.2,4.5,0.4,1.0,,pct_uninsured_low is the lower bound of the 90% confidence interval for percentage of the population without health insurance,U.S. Census American Community Survey 5-year estimates for years 2019-2023
pct_uninsured_high,21.5,16.6,18.4,27.0,13.9,14.5,22.5,24.5,18.9,12.9,14.3,25.1,6.0,6.8,21.8,18.3,9.6,12.7,8.9,21.0,8.9,13.5,19.7,23.3,20.6,18.5,18.9,24.6,15.6,12.7,7.6,18.9,11.4,12.8,26.2,6.8,30.9,13.0,22.7,9.7,9.0,17.9,11.5,20.6,16.9,10.9,7.0,16.9,11.6,7.0,,pct_uninsured_high is the upper bound of the 90% confidence interval for percentage of the population without health insurance,U.S. Census American Community Survey 5-year estimates for years 2019-2023
